,name,verdict,i_reason,description,website,product_offering,target_audience,problem_statement,founding_team,clients
189,ilipa One Pte Ltd,Yes,Some sort of SaaS but unclear value proposition,"At ilipa One, we’re disrupting the way SMEs access business critical applications and capital needed to scale and grow with increased profitability.",ilipa.one,"ilipa Connect is a comprehensive turnkey Solution for businesses looking to raise capital. It allows businesses to connect with investors, manage subscriptions, and settle transactions digitally, cutting down administration overheads and providing robust tracking throughout.",Enterprises and businesses looking to raise capital and manage their growth efficiently.,The main problem statement is the complexity and inefficiency in raising capital and managing growth. ilipa Connect aims to simplify the process and provide a seamless platform for businesses.,Not enough info,Not enough info
190,our.fans,Yes,Sounds like a startup but no info,"our.fans enables athletes to earn by monetising their career through fan engagement, value creation & rewards. 

We are the ""Patreon of Sport"". 

Sport is a $1.3tn industry with over 4.5bn sports Fans and more than 100m Athletes globally. 

It is incredibly popular in our society. It keeps us healthy. It creates communities. It creates jobs. It splits opinion. It is a religion. It is highly data driven. It is entertainment. 

An athlete's career lifespan is short so every athlete regardless of their sport,  home country or the stage in their career either want or need to earn while they can to build, sustain and maximise their own investment.

As we see the growth of the creator economy, web3 and athletes as creators never has there been a better inflection point and opportunity to enable all athletes to finally take back control to have a consistent income from their sporting journey.",our.fans,,,,,
191,DO-XX Studio,No,NFT Studio,"There are lines that one should never cross.
At DO-XX Studio, we tamper lines.
In fact, we'd like to own those lines.

We've combined our knowledge of market psychology, smart contracts, business experience, and artistic eye to provide a host of solutions to our partners. 

We Discuss • Talk • Listen •
Collaborate • Partner • Hire
Do You?",do-xx.com,"DO-XX Studio offers innovative services in Web3, Blockchain, and NFTs, with a focus on tampering with traditional boundaries and exploring new possibilities.","The target audience includes individuals and enterprises interested in digital art, experiential festivals, and innovative topics in the web3 space.",The main value proposition of DO-XX Studio is to unlock unlimited possibilities through their cloud-based Content Management Application and to push the boundaries of traditional lines in the digital space.,"The founding team consists of individuals with diverse backgrounds such as Vyrie, a certified degen turned builder, Soda, with a passion for business, and Bongo, an explorer of new worlds. Each member brings unique skills and experiences to the company.","DO-XX Studio has served clients in various metaverses such as aliens, hutong china, bigfoot town, and has partnered with events like Metajam Asia 2022 to showcase their expertise in the web3 space."
192,KNN3 Network,No,,"KNN3 Network is Web3 + AI company aims to bring emerging technology such as big data, cloud tech & AI into web3 mass adoption, KNN3 has variety of products specifically for developers, web3 business growth & retail users.

TypoGraphy AI (https://typography.vip)

KNN3's flagship product called **TypoGraphy AI** ([https://typox.ai](https://typox.ai/)), which is a AI-enable search portal for web3 users to find fresh web3 knowledge and latest products/companies infos. It has 260k users registered from 20+ languages.

KNN3 Ecosystem

- K.Transformer ([https://transformer.knn3.xyz](https://transformer.knn3.xyz/)), which targeted to web3 data developers to build with AI;
- KNexus ([https://knexus.xyz](https://knexus.xyz/)), a web3 Creator platform to create & mint & trade AIGC platform.
- TopScore (https://topscore.social), an web3 on-chain reputation protocol aims to bring individual’s credit system onto blockchain.",knn3.xyz,"Web3 Data solution that leverages AI technology to facilitate sophisticated, user-friendly data services for both individual users and enterprises. With seamless access across multiple platforms, KNN3's offerings are designed to enable algorithm-friendly interaction with Web3 data.",Individual users and enterprises looking for versatile and friendly data services for d/Apps & smart contracts.,"In the current Web3 world, data silos and the native barrier of Smart Contracts create issues with data interoperability. KNN3 Network aims to provide on-chain accessibility of multi-chain data and enable the conversion from off-chain data to on-chain credits to reconstruct the intrinsic value of data.",Not enough info,Not enough info
193,A Legend is Born,No,Golfing school,"A Legend is Born Golf School aims to provide golfers with the opportunity and platform to improve their abilities tremendously. We make it our mission to assist and train our golfers to win based on new-age technological coaching combined with technique. Our goal is to build confidence in our golfers, so they can use their skill set and achieve greater accomplishments both nationally and internationally.

  Our founder, Ernest Wee, has always had a passion for the game of golf. Since he began playing at the age of two, he has won many awards and championships. In 2005, he won first place in the National Inter School Golf Championship, and in the same year was awarded the Singapore Sports Council South Zone Colours Award. He then went on to represent Singapore in other national tournaments such as the SICC Junior Invitational Championship, Singapore Open Amateur Golf Championship and Singapore National Amateur Championship. His love for golf inspired him to open a golf school in Singapore so that aspiring players could learn from experienced instructors, who would also help them achieve their goals.",a_legend_is_born.vertex_invalid,,,,,
194,OpenBox,Yes,,Web3.0 & A Decentralized Multi-Chain NFT Marketplace,openbox.io,,,,,
195,Astro Armadillos,Yes,NFT aimed at educational content,"Astro Armadillos are on a mission to educate, empower, and assist everyone willing to thrive and build in the Web3 world! Changing times require changes in education. Our priorities for the near- and medium-term future are tocreate a world-class resource available to as many people as possible, and to continue to engage in top-level Web3 business and tech advances.",astroarmadillos.io,"Astro Armadillo is a collection of algorithmically generated armadillo characters and minted as NFTs on the Ethereum blockchain. The 1st generation of 1,024 Astro Armadillos will be constructed from various metal outfits, tin faces, digital accessories, top pieces, faces, backpacks, arms, and colors. The master art piece Astro Armadillo is pixelated background into 32x32 NFTs collection (1,024 collectibles representing the same number of Web3 terms). Astro Armadillo has different body types, some rarer than others, but always connected to a Web3 term.","Astro Armadillos is heavily focused on Web3 education, aiming to translate complex concepts into easy-to-understand ones, onboard as many new people as possible into the quickly-evolving space, including the youngest ones, and help fill existing gaps by supporting new generations of builders.","The main problem statement of Astro Armadillos is to simplify Web3 terminology and concepts for non-tech individuals who find it challenging to understand the acronyms and slang words used in the space. By creating a collection of NFTs with each character representing a Web3 term, the company aims to make technical terms more accessible and understandable for a wider audience.",Not enough info,Not enough info
196,Trantor,Yes,Sofi,"Trantor is a unified Web3 portal promoting interconnectivity among communities and brands through empowered Decentralized Identities (DIDs). 

As a one-stop hub for interconnectivity and exchange of information, projects can advertise and attract new users to build and grow their community and branding. Projects can also reward their loyal users with tokens representing various benefits and utilities that represent their involvement in the project.",trantor.xyz,"Trantor offers a Unified Web3 Portal that promotes interconnectivity among communities and brands. Their key products include Membership Campaign, Community MVB Arcade, Connect Wallet, and support for various blockchain networks like Ethereum, BNB Chain, Polygon, Arbitrum, and Optimism. What makes it innovative is its focus on creating a seamless experience for users to engage with different decentralized communities and brands.","The target audience for Trantor includes individuals interested in Web3 technologies, decentralized communities, and brands looking to engage with a wider audience through blockchain networks.",Trantor aims to address the challenge of fragmentation in the Web3 space by providing a unified platform for communities and brands to connect and collaborate. Their value proposition lies in simplifying the user experience and promoting interconnectivity in the decentralized ecosystem.,Not enough info,Not enough info
197,Almond Tech Pte Ltd,Yes,,"At Almond Tech, our mission is to lead the way in revolutionizing the Philippine banking and fintech industry. We are dedicated to partnering with financial institutions, helping them embark on a swift and secure digital journey that leads to delighted clients.

As your trusted ally, we bring professionalism, responsibility, and transparency to every facet of our work. We understand the unique challenges and opportunities within the banking and fintech sector, and we are committed to delivering innovative solutions that empower our clients to thrive.

At Almond Tech, we specialize in collaborating with world-class software solution providers capable of scaling and digitizing the Philippine banking industry. Our goal is to equip financial institutions with the tools and technology they need to excel in a rapidly evolving digital landscape.

Join hands with Almond Tech, your partners in a safe and swift digital transformation. Together, we'll drive the future of banking and fintech in the Philippines, ensuring lasting success and satisfaction for your clients.",almond-tech.com,"Almond Tech provides innovative software solutions for banking, healthcare, and retail industries, including core banking systems, digital trust solutions, AI-powered HR management systems, OutSystems development, cybersecurity, fraud and AML systems, digital lending, and mobile wallets.","Almond Tech's target audience includes banks, hospitals, and retailers looking for reliable and secure software solutions to support their clients effectively.","The main problem Almond Tech addresses is the challenge faced by banks, hospitals, and retailers in implementing cutting-edge solutions without the right support. Their value proposition lies in bridging the gap between their partners and clients to ensure seamless integration and exceptional results.",Not enough info,"Almond Tech has served banks, hospitals, and retailers, providing proven solutions to support their clients effectively. They have also partnered with renowned solution companies in the banking technology sector to deliver top-notch technologies to their clients."
198,WYLD PLANET,No,Weird value prop. Going to just define as non-tech,"WYLD PLANET is the first global ""music-for-environmental-sustainability"" platform dedicated to driving funding for chosen partnerships worldwide.

We do this by leveraging the phenomenal power of music and its superstar performers to create unique, innovative digital music experiences that are distributed via video streaming to digital audiences worldwide. The sale of these music experiences creates reliable, long-term fund flow that supports our chosen conservation partnerships. 

Our aim? To bring the world together using music to stop biodiversity loss. 

Our core focus areas are:
1) Habitat conservation & and restoration. 
2) Species protection. 
3) Sustainable natural resource management.
4) Establishment, support & and management of land & and marine protected areas.
5) Invasive species control.
6) Climate change mitigation & adaptation through nature-based solutions.
7) Community engagement & education. 
8) Driving economic empowerment, education, and healthcare for the original defenders of the planet - Indigenous communities within biodiversity hotspots.

JOIN US IN OUR MISSION TO STOP BIODIVERSITY LOSS. 
Together, we can make a difference.",wyldplanet.com,"WYLD PLANET is the first digital music experiences platform that funds critical biodiversity restoration worldwide. They curate and produce immersive music content in collaboration with the biggest music stars in the world, delivering unique 3D-animated virtual worlds to redefine digital viewing experiences.","WYLD Planet targets everyone from GEN X to GEN Z, with primary focus on fans and followers of chosen music stars and secondary focus on allied audiences from around the world.","WYLD PLANET is committed to funding biodiversity conservation and restoration to ensure a habitable world for future generations. They aim to address the destructive habits of humanity that have led to habitat loss, species extinction, and other environmental crises.","ARJUN RAO, CATHERINE JADOT, HEATHER FULLERTON, PALLAVI NOPANY, ANAND SUBRAMANIYAM, MARIE MCGONIGLE, JAMES SPURWAY, DAVID GROSS. The team consists of individuals with relevant experience in biodiversity conservation, marketing strategy, creative-tech, brand strategy, 3D animation, programming, music experience development, and fundraising.","WYLD PLANET has served clients like Marie Mcgonigle, Hardik Mehta, Anna Nopany, and Aanchal Bordoloi, who have supported the platform's mission to unite the world with music for biodiversity conservation."
199,"Wellbeing, Daily",Yes,Corporate wellness app,"Wellbeing, Daily allows companies to gauge their employees wellbeing with a unique online self-assessment and offers online and in-person wellbeing programs using our BALANCE.D framework that focuses on helping time-constrained busy professionals integrate easy wellbeing practices into their daily lives so that they can learn to better manage their stress and work life harmony, leading to employees feeling happier, more inspired and motivated in both their personal and professional lives.",wellbeingdaily.com,"Wellbeing, Daily online self-assessment and personalized report, 8x 35 minute self-paced video modules, 8 live facilitated calls, 8 PDF workbooks, Community and peer support throughout, Chat group for accountability and inspiration","Individuals looking to improve their work-life balance, reduce stress, and enhance their overall wellbeing","Helping individuals find intrinsic motivation to make small lifestyle changes for a happier, healthier, and more inspired life",Not enough info,Not enough info
200,ArchiMAT,Yes,Web 3 marketplace for architectural materials,"ArchiMAT helps bring your designs to life—all in one place. It is a portal for sourcing, showcasing, and connecting with the world of architectural materials. Powered by web 3.0 technology, we revolutionise the way materials are sourced and utilised in the industry. 

We build on traditions to create new ways of connecting to inspire and be inspired by people reimagining the design sector.",archimat.io,"ArchiMAT offers a wide range of sustainable building materials, including custom-made furniture, recycled tiles, and eco-friendly lighting solutions.","ArchiMAT's target audience includes architects, builders, and brand owners who are committed to sustainable design and construction practices.",ArchiMAT aims to address the global plastic pollution crisis by offering eco-friendly alternatives and promoting a circular economy.,Not enough info,Not enough info
201,TARS Protocol ✨,Yes,,"TARS is a BaaS infrastructure enabling organizations and individuals to easily conduct business and manage finance on Web3.

We aim to help Web3 startups build dedicated business-focused and branded portals, which allow them to create time-based token vestings, raise capital, create Staff Authenticators, prove their influence and reach the target audience, in a trustless, automated, and decentralized way.

At TARS Protocol, each Web3 company will be able to create a personalized branded portal called Space, where they can easily present their information, influence, and business scopes. 

Moreover, TARS offers BaaS products including (1) Smart SAFT for fundraising and token sales; (2) Claimer for distributing tokens to teams, investors, and community members, on custom unlock schedules; (3) Staff Authenticator for verifying identities; and more.

TARS provides an easy-to-use dashboard for investors and employees to manage their displayed information, token holdings, vesting progress and more.

Our vision is to build the infrastructure powering Web3 startups to grow and succeed.",tars.pro,,,,,
202,iCode49 Technolabs,No,Mobile app development company,"At iCode49, we aspire to revolutionize the way businesses and organizations interact with their customers and stakeholders. By leveraging advancements in technology, design, and user experience, we strive to help our clients create innovative digital products and services that accomplish their goals and make a lasting impact on their users. Our dedicated team of professionals is passionate about understanding our clients' needs and delivering well-crafted solutions that exceed expectations. iCode49 is committed to making the world a better place through our creative and technical abilities.",icode49.com,"The key product offering of iCode49 Technolabs is to provide digital transformation solutions to businesses through services such as Artificial Intelligence, Blockchain, and Cyber Security.",The target audience of iCode49 Technolabs is enterprises looking to enhance their digital capabilities and achieve sustainable competitive advantages.,"The main problem statement of iCode49 Technolabs is to help businesses equip themselves with digital capabilities to enhance efficiency, increase customer value, manage risk, and navigate through new business opportunities.",Not enough info,Not enough info
203,Sooul dApp,Yes,,"Launching 2022

80% of women suffer from hormone imbalances, yet it takes on average 9 years for women to get a clinical diagnosis, coupled with post-Roe era privacy issues compounding pressure on research demands. Sooul dApp is her smart, privacy-preserving, predictive digital care platform empowering women to own it. Streamlined access to dynamic analytics at her fingertips via an incentivized data ecosystem and next-generation (at-home saliva and blood prick IoT) rapid diagnostics and proactive point-of-care.  

Founders : Annaliese Tan, Mayra Hurtado, Dr. Sarita Kumble.

Instagram : @sooul_dapp",sooul-dapp.com,,,,,
204,Tammy.AI,Yes,,"Tammy AI is an innovative B2C platform that aims to revolutionize your YouTube and web experience by harnessing the transformative power of AI. Tammy AI comprises of proprietary and cutting-edge AI products, which includes Basic Summary, Pro Summary and Chat QnA. Together, these groundbreaking innovations possess the ability to propel your favorite social media platform(s) to unprecedented heights, offering an unmatched enhancement in user experience.

Our ultimate goal is to provide a more effective, entertaining and consultative learning experience by facilitating interactive engagements and fostering new perspectives. With Tammy AI, the future of immersive and enlightening digital exploration is within reach. Join us on this remarkable quest for knowledge and transformation.",tammy.ai,"Tammy.AI provides a service to summarize English narrated videos from YouTube. This service is available on their website, Chrome extension, and mobile applications.",Users interested in summarizing English narrated videos from YouTube for personal or professional use.,"Tammy.AI aims to provide a convenient and efficient way for users to summarize English narrated videos from YouTube, saving time and effort in extracting key information from lengthy content.",Not enough info,Not enough info
205,Elven,Yes,,Professional Financial Management Software for Digital Assets,elven.com,Proof of Reserves Solution,RWA DAO Stablecoins,"Lack of Trustworthiness, Delayed Data Updates, Inability to Be Recorded on-Chain",Not enough info,Hope
206,Tribe Fintech,Yes,,"Meet TRIBE Fintech – a global fintech startup founded in 2022. 

TRIBE’s mission is to supercharge millions of SMEs all over the world – we enable faster and effortless connections to business tools, communities, markets and capital by bringing SMEs and banks together all in one platform.

Our data-driven platform enables banks to deliver value and services beyond banking to SMEs by leveraging an integrated ecosystem of third-party business tools, pathways and social+ community.

We believe in leveraging the power of data and ecosystems to drive positive impact in the world – particularly for underserved SMEs. Our white-label ecosystem platform helps forward-thinking banks ‘be more than just a bank’ and turns their SME customers into thriving, digitized and connected business communities. 

Integrated business ecosystems will revolutionise the way banks attract, retain and engage SME customers. By digitizing SMEs, we can track their growth, use their real business data to transform them into thick-file customers and help them unlock capital faster.

It can be incredibly lonely as a small business owner – you can feel unsupported, overwhelmed or simply don’t know where to start. The power of TRIBE is that we are building an ever-expanding ecosystem of global and local partners across our core pillars of essential business tools, e-learning courses and business communities – all in one platform and with the aim of helping SMEs start and scale their businesses in the digital economy.

As a team of global leaders in technology and financial inclusion, we have created a tech platform but also a force for change. 

We are backed by one of the fastest growing digital banking groups in the world and global fintech angels. We are quietly building and launching in Africa & Southeast Asia in 2023 🚀 


🌏 Now Hiring 🌍

Flexible location: Singapore or Ireland (or remote)

💫 Head of Marketing (B2B)
💫 Growth Product Manager
💫 Content Lead
💫 Community Lead",tribefintech.com,"A white-label data-driven platform that helps banks deliver value and services beyond banking to SMEs by leveraging an integrated ecosystem of third-party business tools, pathways and social+ community.",Banks and SMEs,"75% of SMEs feel unsupported by their banks. The platform enables banks to extract intelligent insights from SME data, leading to better risk assessment, targeted marketing, and enhanced customer experiences.",Not enough info,Not enough info
207,Zero Emissions Fund,No,,The Zero Emissions Fund is a seed-stage venture fund (in setup) in Singapore that backs entrepreneurs with a focus on scalable decarbonization solutions for the APAC region.*,zeroemissionsfund.vc,"The Zero Emissions Fund is a seed-stage venture fund in Singapore that backs entrepreneurs with a focus on scalable decarbonization solutions for the APAC region. The Zero Emissions Accelerator is open to all startups working on sustainable and emissions-reducing products or services, providing support and connections to investors.","Entrepreneurs working on decarbonization and sustainability solutions in Asia, Australia, and New Zealand.","To combat climate change by investing in startups that focus on reducing greenhouse gases and decarbonization, aligning with the UN Sustainability goals and the 2030 Sustainable Development Agenda.","Claudia Marcusson, the Managing Partner, has over 22 years of global leadership roles in investment management, insurance, and banking, with a focus on climate change. Robin Teurlings, the General Partner, founded The Startup Buddy Pte Ltd in 2015, South East Asia's largest online startup building and fundraising platform.",Not enough info
208,SKMADS - Mobile App Marketing Agency,No,,"As a mobile advertising agency, our focus is on helping client's achieve their marketing goals by promoting their products or services through mobile platforms. Performance marketing is a key aspect of our services, which means we are dedicated to delivering measurable results that directly impact our client's business objectives.

To excel in performance marketing, it's important to have a deep understanding of Our client's target audiences and their behaviors on mobile devices. This allows us to create highly targeted and personalized ad campaigns that effectively reach our client's potential customers.

Our agency is proficient in utilizing a variety of ad formats, such as display ads, video ads, native ads, and more, to ensure maximum engagement and conversions. Additionally, We are well-versed in the latest mobile advertising technologies, including programmatic advertising, real-time bidding, and retargeting.

To stand out from the competition, Our agency also prioritize ongoing optimization and testing of ad campaigns to continually improve performance and drive higher ROI for our clients.

Our performance is very good in US, EU and LATAM countries.",skmads.com,"SKMADS provides targeted and transparent advertising solutions to help businesses grow. They specialize in in-app and web advertising services through powerful dashboards, offering mobile advertising solutions, performance-based advertising solutions, and programmatic advertising solutions.","SKMADS targets businesses looking to enhance their online presence and reach their target audience. They work with app developers, brands, and advertisers who are looking to acquire high-quality users, convert leads into customers, and reach specific audiences through programmatic advertising.",SKMADS aims to provide innovative and tailored advertising solutions to meet the unique needs of their clients. They focus on maximizing the innovation and creativity of their clients' brands to achieve exceptional results in the digital advertising space.,Not enough info,Not enough info
209,DEMYS,No,,We empower students to overcome procrastination through emotion management and bring like-minded communities together.,demys.earth,Not enough info,Not enough info,Not enough info,Not enough info,Not enough info
210,Novocuris,Yes,,"B2B SaaS startup providing a next-generation patient engagement platform which streamlines patient experiences, driving more engaging and personalised care throughout the entire life-cycle.",novocuris.com,"Novocuris offers an innovative cloud-based ecosystem providing industry-leading mobile experiences for patients. Their platform empowers individuals to actively manage their health, fosters stronger relationships between patients, hospitals, and care teams, and introduces flexible payment systems to ease financial concerns.","Novocuris targets both patients and healthcare organizations. Patients can access services through their mobile application, while healthcare organizations can deliver unparalleled digital health experiences and streamline patient experiences.","Novocuris aims to improve healthcare experiences by providing a seamless platform for patients to access services, empowering them to manage their health actively, and fostering stronger relationships between patients, hospitals, and care teams.",Not enough info,"Novocuris has served international clients and healthcare organizations, helping them deliver digital health experiences and streamline patient journeys."
211,hello bello,No,,"Acknowledging and embracing the substantial role we play in the green revolution, we are a team of like-minded people equipped with an ecosystem that comprises a sizeable EV fleet as well as e-commerce that supports sustainability efforts. Trained by WSQ-certified trainers, our brand ambassadors are well-versed in creating a positive relationship with consumers as part of our brand protection.",hellobello.sg,Sustainable delivery services and eco-friendly products,Consumers looking for sustainable and ethical products,To provide efficient and dependable delivery services while promoting sustainability,The founders are individuals in their early 40s with past failed business ventures and partnerships. They have learned valuable lessons and are determined to create a successful business.,Not enough info
212,ADSGRILL PTE. LTD,No,Consultancy firm,"adsgrill  is a Cloud Software Company that has developed ERP system which manages core functions of business. It is a self-hosted open source business apps that cover all your company needs including finance and accounting, inventory, orders and procurement. Customers can add options including CRM for sales, service and marketing automation, human resources (HR) for personnel records, performance management and payroll etc... Customer 360, our complete suite of products, unites your sales, service, marketing, commerce, and IT teams with a single, shared view of customer information, so that your company can become a customer company, too.""",adsgrill.com,"Adsgrill is a self hosted open source business software solution that covers business needs such as ERP, CRM, E-commerce, and Mobile Application.",Enterprises,"Adsgrill provides a unified platform that helps streamline business operations, creating more value for customers. With integrated front- and back-office processes and data, Adsgrill helps achieve efficiency and scalability needed to delight customers and drive long-term growth.",Not enough info,Not enough info
213,MP Ensystems Products and Services PTE Limited,No,Consultancy firm,"The firm advises businesses and governments in the space of Climate Action creating and implementing global, regional and national strategies. Our interventions are in the areas of climate mitigation, adaptation, resilience, operational efficiency improvement, energy efficiency, resource conservation and renewable energy within the built environment and industries; specifically leading to the development of business models, climate finance mechanisms, socio-technical modelling, livelihood and innovations in agriculture, energy, and the water sectors. They also assist businesses and governments to adopt mandatory and voluntary energy management and resources conservation standards and to train personnel in managing energy systems remotely and at sites, to provide technology due diligence support, to carry out market research and to provide basic engineering, detailed engineering, commissioning and measurement & verification services for energy efficiency and renewable energy projects. Our delivery includes business intelligence and deployment of Software-as-a-Service and Platforms-as-a-Service.",mpensystemsps.com,"Climate change advisory services including climate mitigation, adaptation, resilience, operational efficiency improvement, energy efficiency, resource conservation, and renewable energy within the built environment and industries. They also provide business models, climate finance mechanisms, socio-technical modeling, livelihood and innovations in agriculture, energy, and water sectors.","Businesses and governments looking to implement global, regional, and national strategies for Climate Action.","Helping businesses and governments shape local, regional, and global carbon agendas through private and public actions.","Mahesh Patankar is the Founder and Managing Director with over 29 years of experience in energy and environmental projects. He has direct experience with The World Bank, USAID, USDoE, ADB, etc. He holds a PhD from IIT Bombay, Masters in Financial Management from Mumbai University, and a Bachelors in Chemical Engineering from Shivaji University.",Not enough info
214,Digital Philanthropy,No,,"Asia’s first and largest charitable community and digital marketplace for fundraising. All stakeholders are verified, and donors and contributors are brought together to contribute to building a diverse array of traditional collectibles and non-fungible tokens (NFTs) in our marketplace.

Driven by a fundamental desire to make a difference in the world, every transaction allows donors to dictate where their contributions will be channeled. Whether into a specific beneficiary, charity, or social enterprise, all funds are managed transparently and managed by an independent (CLG) registered in Singapore.",digital_philanthropy.vertex_invalid,,,,,
215,Turtle Venture Studio,No,,"Turtle Venture Studio aims to Systematically Build New Companies From Scratch and Support them all the Way.
It's the first Venture Studio based in Bangladesh, with the dedication to making Bangladeshi Startups go global. 
It’s a new breed of company dedicated to providing the maximum support and capital for early-stage startups to fly. It is a combination of incubators, accelerators, and venture capitalists that can help build up potential ideas from scratch.
We want to help Bangladeshi startups achieve the highest level of innovation success by becoming a bridge between Singapore-based ecosystem builders and local startups.",turtleventure.studio,"Micro Health Insurance Plans, Micro Education Insurance Plans, Credit Shield Coverage, Migrant workers' micro insurance coverage plans, International Medicare Coverage, Occupational Hazard Coverage","Corporates, Education Institutions, RMG Industry, Local Mass eligible for insurance policies",Empowering 99% of Bangladesh's population with accessible and dependable insurtech solutions,"Shawon Shahriar - Co-Founder & CEO, Saiful Islam - Co-Founder & COO, Tahsin Abrar - CTO",Not enough info
216,Lunate Games,No,,"Lunate Games provides game porting and co-development services.
For several years our team has been working with major game development studios and publishers on porting their titles to various platforms.
We port games from PC to Microsoft Xbox, Sony PlayStation and Nintendo Switch consoles. We handle all the issues of cross-platform porting, designing systems that look and work the same across all environments. 
Our team of 20+ developers has extensive expertise in Unreal Engine, CryEngine and several proprietary game engines.",lunate.games,High-quality turnkey porting of games while preserving key gameplay features,Game development studios and publishers,Meeting player demands with the rising trend of cross-platform interoperability,"Andrei Morozov (CEO), Anatoly Gridnev (CTO), Dmitry Krivtsov (Head of BD), Olga Khmelevskaya (Program Director), Vasiliy Kononenko (Head of RnD)",Not enough info
217,Authentick Technologies,Yes,,"Authentick is a Web3 native startup looking to support buyers in the NFT space through information pieces, content awareness and a verification system developed to not only score a NFT project but also highlight information about that project. 

Our mission at Authentick is to help people make safer, faster, and better decisions about NFTs.",authentickator.com,Authentickator is an interface that provides users with information regarding NFTs and allows participants to purchase NFTs from its NFT store using fiat currency and/or cryptocurrency. Users are responsible for the safety and management of their own private crypto wallets and validating all transactions and contracts generated by the Web Properties before approval.,Consumers interested in purchasing NFTs and engaging in the NFT marketplace.,The main problem statement is the need for a secure and user-friendly platform for users to access information about NFTs and purchase NFTs using fiat currency or cryptocurrency.,Not enough info,Not enough info
218,Thryve.Earth,Yes,,"We are building a cloud-based platform to deliver and manage Natural Climate Solutions projects. Our mission is to tech-enable and democratize the development of ‘Natural Climate Solutions’ (NCS) projects to regenerate our planet’s ecosystems.

Get in touch: info@thryve.earth",thryve.earth,"Webflow - a platform that allows users to build websites with the power of code without actually writing any code. It generates clean, semantic code that is ready to publish or hand off to developers. Users can fully customize page structure, style their site, create complex animations, and pull live content from Webflow's CMS into any page.","Consumers, enterprises, and developers who want to build websites without writing code. Also, marketing teams, designers, and content creators who want to create content-rich pages with complex animations and interactions.","The main problem statement is to provide a platform that allows users to build websites with the power of code without actually writing any code. The value proposition is to offer a visual canvas where users can design custom layouts, complex animations, and rich interactions, and easily publish or export clean, semantic code for production.",Not enough info,"Grubhub, NCR, Dropbox, Refokus, Attentive, and more leading organizations have used Webflow for their websites. Webflow has also partnered with various apps and tools to help users connect their sites to the tools they use every day."
219,FR8Labs,Yes,,"Fr8labs is revolutionizing the ASEAN freight forwarding industry with a digital-first approach, allowing forwarders to transform and compete as digital forwarders. With customers in Singapore, Malaysia, Indonesia, Philippines, Australia and Taiwan, Fr8labs specializes in providing SMB and Mid-Market forwarders with a modern Operating System (a.k.a cloud-based Freight Management System FMS including accounting back-end).

Fr8labs combines innovative technology with a deep understanding of the logistics sector to offer unmatched efficiency and customer engagement. 

Key Benefits:
1. Drive Revenue Growth through Digital Engagement with Your Customers-Fr8labs transforms customer interactions by offering a hybrid of traditional and digital ""VIP"" services. Our platform includes a customer portal with real-time shipment visibility, GenAI-enabled WhatsApp Chat, and efficient quoting systems, all designed to delight customers and foster loyalty and growth.
2. Efficient Workflow, Familiar Process-Our platform is tailored to enhance digital services without overburdening your team. It aligns with and improves your operational workflow, replacing outdated systems with a more efficient digital solution. This upgrade in productivity is achieved without disrupting your established processes.
3. Affordable, Progressive Pricing for Faster ROI-Adopt our budget-friendly pricing model, which is akin to a budget airline's approach. Start with a basic plan covering essential needs and add modules as required, aligning costs with your business growth. This scalable pricing ensures a faster ROI and facilitates business expansion without financial strain.

Reach out to us to learn more today!",fr8labs.co,"Full Fledged Forwarder System with integrated cloud accounting module, adaptable shipping documents, communication hub, and advanced solutions",Small and medium-sized enterprises (SMEs) in the freight forwarding industry across Southeast Asia (SEA),"Many forwarders struggle to grow without sacrificing service quality due to manual operations, lack of digital expertise, and outdated technology",Not enough info,Not enough info
220,Antomation Pte. Ltd.,No,Metal wielder,"Antomation is a Singapore-based company focused on providing cutting-edge nature-inspired and AI-driven swarm-intelligent solutions for industrial processes, with a focus on orbital welding. We specialize in developing advanced automation systems that optimize productivity, reduce labor costs, and improve the quality of manufacturing processes. Our team is made up of experts in the fields of engineering, robotics, and AI, who are passionate about leveraging the latest technologies to solve complex industrial challenges.

Our innovative solutions are inspired by the collective behavior of natural swarms, such as bees and ants, and incorporate advanced AI algorithms that enable our systems to learn and adapt to changing environments. By combining nature-inspired design with AI, our solutions provide unmatched precision, reliability, and efficiency, delivering up to a 70% reduction in labor costs and up to 10x faster throughput.

At Antomation, we believe that the future of industrial manufacturing lies in the integration of advanced technologies that can help companies achieve higher levels of automation, efficiency, and quality. We are committed to working with our clients to develop tailor-made solutions that meet their unique needs and requirements. Our solutions are ideal for companies that want to stay competitive in a rapidly changing global market, and are looking for ways to optimize their manufacturing processes while reducing costs and improving quality.

Our team has a strong track record of success, having developed innovative solutions that have been adopted by leading companies in various industries. We are proud of our ability to consistently deliver results, and are committed to pushing the boundaries of what is possible in industrial automation. If you are looking for a partner who can help you achieve your automation goals, look no further than Antomation.",antomation.net,"Stationary use orbital welding solutions specializing in Ultra-High Purity (UHD) and Large Outer Diameter (LOD) tube assembly production. The innovative aspect is the advanced, fully automated production lines that ensure superior precision, consistency, and cost-effectiveness.","Diverse industries like semiconductor, automotive, pharmaceutical, and more, requiring precision-driven, adaptable production solutions.","Redefining orbital welding with advanced automation technology to provide superior quality control, cost savings, reduced manual labor, and increased throughput for industries with stringent standards.",Not enough info,Not enough info
